objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,archive_link,image_small,image_thumb,filename,filename_original,thumbs_to_process,thumbs_new_filename
wolf_001,Draft Gray Wolf Management Plan 2023-2028: Idaho Fish and Game,Idaho Department of Fish and Game,2023,Draft Gray Wolf Management Plan 2023-2028.,wildlife management; hunting; trapping; idaho department of fish and game,"Boise, Idaho",43.618881,-116.215019,Idaho Official Government Website,,,application/pdf,eng,,,pdf,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/draft_2023_idfg_wolf_management_plan.pdf,,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/draft_2023_idfg_wolf_management_plan_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/draft_2023_idfg_wolf_management_plan_th.jpg,draft_2023_idfg_wolf_management_plan.pdf,DRAFT 2023 IDFG Wolf Management Plan.pdf,,
wolf_002,Can Large Carnivores Change Streams via a Trophic Cascade?,"Beschta, Robert L., and William J. Ripple.",2019,Article about the effects of removing large carnivores from ecosystems.,reintroduction; ecosystem,"Blacktail Deer Creek, Montana",45.2313108,-112.6339091,"Ecohydrology, vol. 12, no. 1 ",,,application/pdf,eng,,,pdf,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/ecohydrology_2018_beschta.pdf,,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/ecohydrology_2018_beschta_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/ecohydrology_2018_beschta_th.jpg,ecohydrology_2018_beschta.pdf,Ecohydrology - 2018 - Beschta - Can large carnivores change streams via a trophic cascade.pdf,,
wolf_003,Wolves Finding Their Niche in the River of No Return Wilderness,"Brannon, Louise",1995,Article about the first wolves reintroduced in Idaho.,reintroduction; ecosystem,"Corn Creek, Idaho",45.3682485,-114.6862068,Frankly Speaking: Biannual Report of the Frank Church - River of No Return Wilderness,,,application/pdf,eng,,,pdf,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/frankly_speaking_1995.pdf,,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/frankly_speaking_1995_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/frankly_speaking_1995_th.jpg,frankly_speaking_1995.pdf,Frankly Speaking (1995).pdf,,
wolf_004,What’s All the Howling about?,"White, Craig",2010,Wolf impacts in Lolo region.,wildlife management; predation,"Lolo Pass, Idaho",46.6351985,-114.5798362,"Idaho Official Government Website, https://idfg.idaho.gov/sites/default/files/old-web/docs/wolves/articleHowling.pdf",,,application/pdf,eng,,,pdf,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/howling_about.pdf,,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/howling_about_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/howling_about_th.jpg,howling_about.pdf,Howling about.pdf,,
wolf_005,Infographic: Wolves Keep Yellowstone in the Balance,Earthjustice,2015-02-02,Infographic about gray wolf extermination from Yellowstone and ecosystem collapse known as trophic cascade.,ecosystem; yellowstone national park; trophic cascade; extermination,"Yellowstone National Park, Wyoming",44.428,110.5885,"Earthjustice, https://earthjustice.org/features/infographic-wolves-keep-yellowstone-in-the-balance",,,record,eng,,,record,https://earthjustice.org/features/infographic-wolves-keep-yellowstone-in-the-balance,https://perma.cc/L9MC-RBWL,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/infographic-wolves_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/infographic-wolves_th.jpg,,,infographic-wolves.jpg,infographic-wolves.jpg
wolf_006,The Foundation for Wildlife Management: Ensuring Ungulate Populations Recover in Areas Negatively Impacted by Wolves,The Foundation for Wildlife Management,2023,The Foundation for Wildlife Management's mission statement about ungulate population recovery.,wildlife management; hunting; trapping,"Ponderay, Idaho",48.3055,116.5338,"Foundation for Wildlife Management, https://f4wm.org/",,,record,eng,,,record,https://f4wm.org/,https://perma.cc/PY2M-Y8JQ,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/f4wm_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/f4wm_th.jpg,,,f4wm.jpg,f4wm.jpg
wolf_007,The Rocky Mountain Elk Foundation Is Funding a $1000 'Bounty' per Trapped and Killed Wolf in Idaho,"Koehler, Matthew",2020-09-11,Article from The Smokey Wire : National Forest News and Views.,trapping; wildlife management; bounty; outfitter,"Grant Creek, Montana",46.8929788,-114.0895564,"“The Rocky Mountain Elk Foundation Is Funding a $1000 'Bounty' per Trapped and Killed Wolf in Idaho.” The Smokey Wire : National Forest News and Views, https://forestpolicypub.com/2019/01/25/rmef-funding-a-1000-bounty-per-trapped-and-killed-wolf-in-idaho/",,,record,eng,,,record,https://forestpolicypub.com/2019/01/25/rmef-funding-a-1000-bounty-per-trapped-and-killed-wolf-in-idaho/,https://perma.cc/2VGL-MDG3,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/the_smokey_wire_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/the_smokey_wire_th.jpg,,,The Smokey Wire.jpg,the_smokey_wire.jpg
wolf_008,Is There a Difference between a Idaho Grey Wolf and a Northern Canadian Wolf,"Phillips, Roger",2018-09-26,Q & A with Idaho Department of Fish & Game.,biology; regions; idaho department of fish and game,"Boise, Idaho",43.618881,-116.215019,"Idaho Official Government Website, https://idfg.idaho.gov/d7/question/there-difference-between-idaho-grey-wolf-and-northern-canadian-wolf",,,record,eng,,,record,https://idfg.idaho.gov/d7/question/there-difference-between-idaho-grey-wolf-and-northern-canadian-wolf,https://perma.cc/9KRW-5K58,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/ask_idfg_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/ask_idfg_th.jpg,,,Ask IDFG.jpg,ask_idfg.jpg
wolf_009,Clearwater Region: Idaho Fish and Game,Idaho Department of Fish and Game,2023,Description of Clearwater Region.,regions,"Clearwater River, Idaho",46.4932,-116.3248,"Idaho Official Government Website, https://idfg.idaho.gov/region/clearwater",,,record,eng,,,record,https://idfg.idaho.gov/region/clearwater,https://perma.cc/MS6Z-FLDA,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/clearwater_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/clearwater_th.jpg,,,Clearwater.jpg,clearwater.jpg
wolf_010,Magic Valley Region: Idaho Fish and Game,Idaho Department of Fish and Game,2023,Description of Magic Valley Region.,regions,"Jerome, Idaho",42.7241,-114.5187,"Idaho Official Government Website, https://idfg.idaho.gov/region/magic-valley",,,record,eng,,,record,https://idfg.idaho.gov/region/magic-valley,https://perma.cc/K2W6-7T7Z,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/magic_valley_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/magic_valley_th.jpg,,,Magic Valley.jpeg,magic_valley.jpeg
wolf_011,Panhandle Region: Idaho Fish and Game,Panhandle Region: Idaho Fish and Game,2023,Description of Panhandle Region.,regions,Coeur d'Alene,47.6735,116.7812,"Idaho Official Government Website, https://idfg.idaho.gov/region/panhandle",,,record,eng,,,record,https://idfg.idaho.gov/region/panhandle,https://perma.cc/WNH5-AFQC,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/panhandle_region_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/panhandle_region_th.jpg,,,Panhandle region.jpg,panhandle_region.jpg
wolf_012,Salmon Region: Idaho Fish and Game,Idaho Department of Fish and Game,2023,Description of Salmon Region.,regions,"Salmon, Idaho",45.1735,-113.9017,"Idaho Official Government Website, https://idfg.idaho.gov/region/salmon",,,record,eng,,,record,https://idfg.idaho.gov/region/salmon,https://perma.cc/CCF5-AF56,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/salmon_region_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/salmon_region_th.jpg,,,Salmon region.jpg,salmon_region.jpg
wolf_013,Southeast Region: Idaho Fish and Game,Idaho Department of Fish and Game,2023,Description of Southeast Region.,regions,"Pocatello, Idaho",42.8621,-112.452911,"Idaho Official Government Website, https://idfg.idaho.gov/region/southeast",,,record,eng,,,record,https://idfg.idaho.gov/region/southeast,https://perma.cc/5TEH-M7HN,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/southeast_region_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/southeast_region_th.jpg,,,Southeast region.jpg,southeast_region.jpg
wolf_014,Southwest Region: Idaho Fish and Game,Idaho Department of Fish and Game,2023,Description of Southwest Region.,regions,"Boise, Idaho",43.618881,-116.215019,"Idaho Official Government Website, https://idfg.idaho.gov/region/southwest",,,record,eng,,,record,https://idfg.idaho.gov/region/southwest,https://perma.cc/X59G-UCCW,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/southwest_region_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/southwest_region_th.jpg,,,Southwest region.jpg,southwest_region.jpg
wolf_015,Upper Snake Region: Idaho Fish and Game,Idaho Department of Fish and Game,2023,Description of Upper Snake Region.,regions,"Idaho Falls, Idaho",43.4927,-112.0408,"Idaho Official Government Website, https://idfg.idaho.gov/region/upper-snake",,,record,eng,,,record,https://idfg.idaho.gov/region/upper-snake,https://perma.cc/8HWD-JGHA,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/upper_snake_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/upper_snake_th.jpg,,,Upper Snake.jpg,upper_snake.jpg
wolf_016,Regions: Idaho Fish and Game,Idaho Department of Fish and Game,2023,Fish & Game regions of Idaho.,hunting; regions; map,Idaho,,,,,,record,eng,,,record,https://idfg.idaho.gov/regions,https://perma.cc/6L5G-7BRJ,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/idfg_regions_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/idfg_regions_th.jpg,,,IDFG regions.jpg,idfg_regions.jpg
wolf_017,Wolf Management / Status Timeline: Idaho Fish and Game,Idaho Department of Fish and Game,2018,"Timeline of wolf reintroduction and management in Idaho, Montana, and Wyoming.",hunting; wildlife management; legislation; history; idaho department of fish and game,"Boise, Idaho",43.618881,-116.215019,"""Wolf Management / Status Timeline: Idaho Fish and Game.” Idaho Department of Fish and Game, Idaho Official Government Website, https://idfg.idaho.gov/wildlife/wolf/recovery-reintroduction.",,,record,eng,,,record,https://idfg.idaho.gov/wildlife/wolf/recovery-reintroduction,https://perma.cc/7FVA-FUUP,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/idfg_wolf_reintroduction_timeline_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/idfg_wolf_reintroduction_timeline_th.jpg,,,IDFG Wolf Reintroduction Timeline.jpg,idfg_wolf_reintroduction_timeline.jpg
wolf_018,Wolves Part 3 Meet Jay and Chyenne Smith: Raising Livestock in Idaho,Idaho Rangeland Resource Commission,2019,Rancher stories.,stories; rangeland; cattle,"Salmon, Idaho",45.1735,-113.9017,"Idaho Rangeland Resource Commission, https://idrange.org/range-stories/central-idaho/meet-jay-and-chyenne-smith-raising-livestock-in-idaho/",,,record,eng,,,record,https://idrange.org/range-stories/central-idaho/meet-jay-and-chyenne-smith-raising-livestock-in-idaho/,https://perma.cc/ALC4-C8P8,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/wolves_part_3_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/wolves_part_3_th.jpg,,,Wolves Part 3.jpg,wolves_part_3.jpg
wolf_019,"Wolves Part 4 Unforeseen Impacts Caused by Wolves in Idaho I, ",daho Rangeland Resource Commission,2019,Impacts of wolves on cattle and ranchers.,stories; predation; rangeland; cattle,"Council, Idaho",44.7299,-116.4382,"Idaho Rangeland Resource Commission, https://idrange.org/range-stories/north-central-idaho/unforeseen-impacts-caused-by-wolves-in-idaho/",,,record,eng,,,record,https://idrange.org/range-stories/north-central-idaho/unforeseen-impacts-caused-by-wolves-in-idaho/,https://perma.cc/4DNC-UG2F,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/wolves_part_4_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/wolves_part_4_th.jpg,,,Wolves Part 4.jpg,wolves_part_4.jpg
wolf_020,Wolves Part 5 Wolf Management in Idaho,Idaho Rangeland Resource Commission,2019,Wolf management in Idaho.,wildlife managment; hunting; trapping; predation; cattle; rangeland,"Leadore, Idaho",44.6802,-113.3581,"Idaho Rangeland Resource Commission, https://idrange.org/range-stories/north-central-idaho/wolves-part-5-wolf-management-in-idaho/",,,record,eng,,,record,https://idrange.org/range-stories/north-central-idaho/wolves-part-5-wolf-management-in-idaho/,https://perma.cc/S8UP-VRV3,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/wolves_part_5_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/wolves_part_5_th.jpg,,,Wolves Part 5.jpg,wolves_part_5.jpg
wolf_021,Wolves Part 2 Wolf Reintroduction in Idaho (1995-2011),Idaho Rangeland Resource Commission,2019,History of wolf reintroduction.,history; reintroduction,"Frank Church River of No Return Wilderness, Idaho",45.0804685,-114.9628785,"Idaho Rangeland Resource Commission, https://idrange.org/range-stories/north-idaho/wolf-reintroduction-in-idaho/",,,record,eng,,,record,https://idrange.org/range-stories/north-idaho/wolf-reintroduction-in-idaho/,https://perma.cc/G46K-P398,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/wolves_part_2_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/wolves_part_2_th.jpg,,,Wolves Part 2.jpg,wolves_part_2.jpg
wolf_022,Wolves in Idaho,Idaho Rangeland Resource Commission,2019,Range stories about wolf reintroduction and its impacts in Idaho.,rangeland; cattle; history,"Emmett, Idaho",43.8735,-116.4993,"Idaho Rangeland Resource Commission, https://idrange.org/range-stories/north-idaho/wolves-in-idaho/",,,record,eng,,,record,https://idrange.org/range-stories/north-idaho/wolves-in-idaho/,https://perma.cc/NLR6-RDMS,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/wolves_in_idaho_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/wolves_in_idaho_th.jpg,,,Wolves in Idaho.jpg,wolves_in_idaho.jpg
wolf_023,Wolves Part 1 Early History of Wolves in Idaho,Idaho Rangeland Resource Commission,2019,History of wolf extermination in Idaho.,history; extermination,"Emmett, Idaho",43.8735,-116.4993,"Idaho Rangeland Resource Commission, https://idrange.org/range-stories/north-idaho/wolves-part-1-history-of-wolves/",,,record,eng,,,record,https://idrange.org/range-stories/north-idaho/wolves-part-1-history-of-wolves/,https://perma.cc/5FUR-6GQB,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/wolves_part_1_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/wolves_part_1_th.jpg,,,Wolves Part 1.jpg,wolves_part_1.jpg
wolf_024,Welcome to the Shoshone-Paiute Tribes FISH & GAME DEPARTMENT,Shoshon-Paiute Tribes of the Duck Valley Indian Reservation,2022,Shoshon-Paiute Tribes' mission statment about fish and game.,Native American; wildlife management,"Duck Valley, Idaho",41.8752,116.1262,"Sho-Pai Tribes, https://shopaitribes.org/spfish/",,,record,eng,,,record,https://shopaitribes.org/spfish/,https://perma.cc/L4R5-BLBR,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/shoshone-paiute_tribes_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/shoshone-paiute_tribes_th.jpg,,,Shoshone-Paiute Tribes.jpg,shoshone-paiute_tribes.jpg
wolf_025,Idaho Senate Bill 1211,Backcountry Hunters & Anglers,2021,Article about Idaho Senate Bill 1211.,legislation; hunting ; wildlife management,"Boise, Idaho",43.618881,-116.215019,"Backcountry Hunters & Anglers, https://www.backcountryhunters.org/idaho_senate_bill_1211",,,record,eng,,,record,https://www.backcountryhunters.org/idaho_senate_bill_1211,https://perma.cc/N8BL-AYUM,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/bha_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/bha_th.jpg,,,BHA.jpg,bha.jpg
wolf_026,Idaho Fish and Game Wants to Reduce the Wolf Population by 60%,"Cohen, Rachel",2023,Article about Idaho Department of Fish and Game's new wolf management plan (2023).,wildlife management; regions; hunting,"Boise State University, Idaho",43.6029,-116.20871,"Boise State Public Radio, https://www.boisestatepublicradio.org/news/2023-01-27/idaho-fish-and-game-wants-to-reduce-the-wolf-population-by-60",,,record,eng,,,record,https://www.boisestatepublicradio.org/news/2023-01-27/idaho-fish-and-game-wants-to-reduce-the-wolf-population-by-60,https://perma.cc/V2MY-LPZU,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/boise_radio_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/boise_radio_th.jpg,,,Boise Radio.jpg,boise_radio.jpg
wolf_027,Wildlife,Coeur D'Alene Tribe,2022,Coeur D'Alene Tribe's wildlife mission statement,Native American; wildlife management,"Plummer, Idaho",47.3352,-116.8885,"Coeur D'Alene Tribe, https://www.cdatribe-nsn.gov/nr/wildlife/",,,record,eng,,,record,https://www.cdatribe-nsn.gov/nr/wildlife/,https://perma.cc/8VTD-3AX5,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/couer_dalene_tribe_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/couer_dalene_tribe_th.jpg,,,Couer d'Alene Tribe.jpg,couer_dalene_tribe.jpg
wolf_028,The Return,"Nijhuis, Michelle",2006-02-26,Article about the reintroduction of wolves to Idaho.,reintroduction; ecosystem; history,"Lewiston, Idaho",46.392014,-117.010826,"High Country News, https://www.hcn.org/issues/197/10278",,,record,eng,,,record,https://www.hcn.org/issues/197/10278,https://perma.cc/C95G-ZX9V,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/the_return_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/the_return_th.jpg,,,The return.jpg,the_return.jpg
wolf_029,"The Wolves Are Back, Big Time","Milstein, Michael",1995-03-06,Article about the reintroduction of wolves to Yellowstone National Park.,reintroduction; ecosystem; history,"Yellowstone National Park, Wyoming",44.428,110.5885,"High Country News, https://www.hcn.org/issues/28/787",,,record,eng,,,record,https://www.hcn.org/issues/28/787,https://perma.cc/6428-6TAN,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/the_wolves_are_back_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/the_wolves_are_back_th.jpg,,,The wolves are back.jpg,the_wolves_are_back.jpg
wolf_030,Tackling the Myths,Living with Wolves,2020-06-15,Myths surrounding wolves.,myths; stories; wolves,"Sawtooth Range, Idaho",44.1415,-115.01,"Living with Wolves, https://www.livingwithwolves.org/about-wolves/tackling-the-myths/",,,record,eng,,,record,https://www.livingwithwolves.org/about-wolves/tackling-the-myths/,https://perma.cc/7WUX-GC65,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/tackling_the_myths_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/tackling_the_myths_th.jpg,,,Tackling the Myths.jpg,tackling_the_myths.jpg
wolf_031,Four Perceptions,Living with Wolves,2020,Different perceptions surrounding wolves.,biology; sociology; myth,"Sun Valley, Idaho ",43.697662,-114.352829,"Living with Wolves, https://www.livingwithwolves.org/four-perceptions/",,,record,eng,,,record,https://www.livingwithwolves.org/four-perceptions/,https://perma.cc/4FU8-2CTZ,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/four_perceptions_of_wolves_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/four_perceptions_of_wolves_th.jpg,,,Four Perceptions of Wolves.jpg,four_perceptions_of_wolves.jpg
wolf_032,Meet the Pack,Living with Wolves,2020-03-17,Description of the Sawtooth Pack.,wolves; biology,"Sawtooth Range, Idaho",44.1415,-115.01,"Living with Wolves, https://www.livingwithwolves.org/sawtooth-pack/meet-the-pack/",,,record,eng,,,record,https://www.livingwithwolves.org/sawtooth-pack/meet-the-pack/,https://perma.cc/32EZ-3MS4,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/meet_the_wolves_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/meet_the_wolves_th.jpg,,,Meet the wolves.jpg,meet_the_wolves.jpg
wolf_033,Our Observations,Living with Wolves,2019-07-19,Observations of wolf pack behavior.,biology; wolves,"Sawtooth Range, Idaho",44.1415,-115.01,"Living with Wolves, https://www.livingwithwolves.org/sawtooth-pack/our-observations/",,,record,eng,,,record,https://www.livingwithwolves.org/sawtooth-pack/our-observations/,https://perma.cc/C2ZE-D72K,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/our_observations_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/our_observations_th.jpg,,,Our observations.jpg,our_observations.jpg
wolf_034,Sawtooth Pack Stories,Living with Wolves,2018-12-27,Stories of the Sawtooth pack.,biology; wolves; stories,"Sawtooth Range, Idaho",44.1415,-115.01,"Living with Wolves, https://www.livingwithwolves.org/sawtooth-pack/sawtooth-pack-stories/",,,record,eng,,,record,https://www.livingwithwolves.org/sawtooth-pack/sawtooth-pack-stories/,https://perma.cc/4KRW-AVKQ,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/stories_of_the_sawtooth_pack_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/stories_of_the_sawtooth_pack_th.jpg,,,Stories of the Sawtooth Pack.jpg,stories_of_the_sawtooth_pack.jpg
wolf_035,Killing Wolves,Living with Wolves,2019-03-18,Article about the violence of killing wolves.,extermination; wildlife management; biology,"Sun Valley, Idaho ",43.697662,-114.352829,"Living with Wolves, https://www.livingwithwolves.org/the-hunting-controversy/",,,record,eng,,,record,https://www.livingwithwolves.org/the-hunting-controversy/,https://perma.cc/T537-5P6L,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/killing_wolves_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/killing_wolves_th.jpg,,,Killing Wolves.jpg,killing_wolves.jpg
wolf_036,Ranching Solutions,Living with Wolves,2020-07-31,Progressive techniques of wolf/livestock cohabitation.,wildlife management; rangeland; cattle,"Sun Valley, Idaho ",43.697662,-114.352829,"Living with Wolves, https://www.livingwithwolves.org/wolf-issues/ranching-solution/",,,record,eng,,,record,https://www.livingwithwolves.org/wolf-issues/ranching-solution/,https://perma.cc/3BWQ-A3Y6,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/ranching_solutions_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/ranching_solutions_th.jpg,,,Ranching solutions.jpg,ranching_solutions.jpg
wolf_037,Gray Wolf,Nez Perce Tribe - Wildlife Division,2022,"Nez Perce's mission statement regarding hîmiin, or gray wolves.",Native American; wildlife management,"Lapwai, Idaho",46.4049,-116.8049,"Nez Perce Tribe, https://www.nezpercewildlife.org/gray-wolf",,,record,eng,,,record,https://www.nezpercewildlife.org/gray-wolf,https://perma.cc/K79F-BEBX,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/nez_perce_mission_statement_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/nez_perce_mission_statement_th.jpg,,,Nez Perce mission statement.jpg,nez_perce_mission_statement.jpg
